	Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells
ABCB11	0	0	0	0	0.0637446959924615	0
ABCB4	30.5447548203599	0	0.0775106764958355	0.0729399488299523	0	0.248289171953661
ABCB5	0.20331970776325	0.200239770190118	0.232527681354651	0.166728740065457	0.456720626732892	0.584650519808894
ABCB6	7.72623012739452	5.54579872066491	4.76368389613327	2.38649272416646	2.83715661468296	4.68665832862464
ABCB7	19.0402944527475	12.6865520564555	10.6279462009864	16.6442047781833	1.23239569245233	14.2099086518354
ABCB8	25.5741494783922	32.5325505694398	31.2512622735309	16.4970303385951	1.25236434069514	48.7871031430405
ABCB9	0.945516821887832	1.62259793468899	1.31243601165224	0.260499684364051	0.0637223782666748	0.563808828660285
ABCC1	22.0410046370772	24.9032169019508	21.9296968026542	20.0823234966795	5.16544342848275	14.7248878021017
ABCC10	74.8988391739494	72.0480287045961	72.6977532539787	51.6533044114915	39.4612099472566	133.741432706906
ABCC11	0.0186227084663569	0	0.0155001087096805	0.0208483448022916	0.0212407927555583	0
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0
ABCC2	1.73855649886802	1.49424859384378	1.13159278480512	0.677348847329396	2.5922805944687	1.70246617027242
ABCC3	0.203319715899015	0.138633296065512	0.211849289842026	19.0282922342073	0.0702639957646372	0.605302578057214
ABCC4	3.24342103990873	3.35287330625696	3.0224520191184	1.54246507617149	0.32923780717302	4.37093293583102
ABCC5	13.7669599213045	16.4241688790448	17.552356656709	14.1217970263777	41.0921147107648	27.6855332473777
ABCC5-AS1	0	0	0	0	0	0
ABCC6	0.0711761929901863	0.0102703718753028	0	4.58504035180007	1.55089522036842	0.0103456335787201
ABCC6P2	0	0	0	0.20840550498887	0	0
ABCC8	0	0	0	0	0	0
ABCC9	11.0831866465776	7.52724499604749	9.20113100682238	8.22341287994522	7.46626307389695	15.2669202669851
ABCD1	11.4779954959687	6.25322097173044	6.57774495128899	27.608186285322	13.7852744983573	13.4184069645654
ABCD1P2	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	1.00663805322127	10.3573369550459	10.6482147098494	0	0	0.481087551792908
ABCD3	8.96750485145351	11.378032729431	11.4036280225472	12.285171381502	1.57194398045517	19.8749979539021
ABCD4	65.113991596999	56.6091368442313	62.2835683847492	29.5254988750761	9.01643026875108	89.072769834028
ABCE1	29.2251568037031	29.8586628698018	31.9586744928757	18.557997514095	0.348825572244136	28.2820814481885
ABCF1	33.876434235253	31.0535504989731	34.9898248426574	37.5670969999772	13.9339551694926	58.2664192034034
ABCF2	19.0381683205088	19.5226493399392	16.6353935665432	20.9463034713395	1.18959791149032	22.6952242973835
ABCF2P1	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	65.9750253494865	73.1084326456175	91.5464556037142	58.2953341386433	39.9490508273759	134.611922301493
ABCG1	12.5952247296354	10.864352673969	9.53891992565251	4.67919559193252	41.594504183794	11.0035651005929
ABCG2	0.0810515921175473	0.0924128647611229	0.263474648558351	0	0	0.61029914713984
ABCG4	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0
ABHD1	0.772691777274678	1.44785883545047	1.56044881014811	0.688039932457582	0.276152320890773	1.5882208638859
ABHD10	21.4320298223029	13.9591214886154	12.5296789640363	10.2750147376266	1.88046584106951	18.2201210458727
ABHD11	13.8563649161959	13.6930598594583	15.0164295869024	19.6967262110661	15.7819034922759	26.7035298586881
ABHD11-AS1	0.0711902211398454	0.195109566767109	0.247981896895139	0.432456648222923	0.47823077556736	0.672430478950254
ABHD12	11.0931851072077	14.9206353365094	17.5419743183156	21.0800513081958	1.49747536501406	32.7366461627168
ABHD12B	0	0	0	0.937995259885094	3.31361888912638	0.0672552398398914
ABHD13	12.2311885899077	12.08243940355	11.1341675060872	11.4213145562259	16.5040959710688	19.7681622367628
ABHD14A	11.1215884596761	22.2915553202303	21.824422202426	5.57510205109579	0.520378081456682	26.6881880632282
ABHD14A-ACY1	4.11789743231565	4.09725319053647	4.61920263028131	3.61598577210823	0	5.11643442437369
ABHD14B	67.4825292105291	86.0164250628203	72.5634929077835	34.7861655381984	0.265553229793113	56.7019246212356
ABHD15	21.4002215253574	11.6411244218893	17.7111664240752	7.72237143220348	0.233652637348595	48.4285902760458
ABHD16A	50.9829527485309	42.7463486460784	54.9222204093138	74.863799061977	117.957347083707	97.8146232037139
ABHD16B	7.83875474051022	4.45636700195782	5.35830687234437	7.21210453357599	4.52470338238037	8.64333085648854
ABHD17A	72.9360546341262	128.612401887645	226.340304691392	75.9536422165753	60.897857547463	725.613226826117
ABHD17AP1	0	0	0	0	0	0
ABHD17AP3	1.14382423675253	0	0	0.0208421290752357	0	1.63465546773969
ABHD17AP4	0.991242807431251	0	0	0	0	0.346567459603953
ABHD17AP6	2.3539731924467	0.225922536750589	0.22220815643979	0	0	12.3021425706252
ABHD17B	22.9862611992621	10.4493424591096	15.6203854958296	5.36190306585065	6.91837314804427	30.3139435752156
ABHD17C	0.564253332703256	0.929257343782609	2.13399950270746	0.755456502639161	0.398284667725456	3.98877376523384
ABHD2	6.7708990259656	8.46082803922002	8.65108563879038	32.6475714140673	110.234691837906	42.6817481609102
ABHD3	14.6550155232168	24.4742999977286	21.8609774605761	24.6224427264539	89.7569039598536	28.3193380735721
ABHD4	7.01528188033093	5.83302410323224	7.73042709122115	10.5689883110119	45.0010030374403	21.9608797078962
ABHD5	3.52584299045855	4.61626840001074	4.92973045540088	35.3309745214199	162.114579670329	11.849525953575
ABHD6	3.48693298813974	1.12439058421497	1.62766951497847	4.57525379673788	0.138049305744247	3.74029646434774
ABHD8	4.56572290886604	4.63648432735085	4.53624320345972	13.788387133614	3.91892489141978	7.1502985327587
ABI1	51.2608049917943	36.6244974392366	37.5735746805388	44.5540090684611	85.226658541921	65.0892529650824
ABI2	9.37303890294458	14.8123022194806	14.3518937360136	4.36597470994149	0.47808453586513	16.8434847896356
ABI3	7.23954885089996	5.65768005549626	22.5612910099194	51.2663378828452	7.42378078044661	112.993121688573
ABI3BP	0.0813347803774479	0.0462135449521589	0.0155012178980148	0.0416862155584534	0.0955835339370679	0.0879532778765807
ABL1	22.1824133394406	20.8476511500378	26.3992966689665	22.021665768809	3.23960035116199	40.7863407817011
