	B cells naive	CAFs	T cells CD4 naive 	CD8_T cells	Endothelial	Macrophages M0	NK cells activated
C8orf12	0	0	0	0.0298078591457192	0	0.198063305513717	0
C8orf22	0	0	0	0.535838064879858	0	0	0
C8orf31	3.47127508518853	0.217489200659081	4.35298300829418	4.80022228371198	2.08557396039551	3.02450919394942	4.60432068485781
C8orf33	10.7959298426394	22.9056216619821	21.7799343333232	45.718740607678	24.958413642521	7.98321833462399	11.2210676363082
C8orf34	0	0	0.322239741607543	0.887847780888357	0	0	0
C8orf37	3.01336014421522	1.56753376504462	6.33335748552448	5.76937151001249	7.6782793397379	1.39412952036023	3.77949918892021
C8orf4	0	0	0	0.801815924333621	86.6850890217231	0	0
C8orf40	25.1969990874491	114.684196692198	58.9099956166463	41.413671553358	53.7039138848051	48.1714043941556	86.9496155268848
C8orf42	0	0	0.615589844898125	1.5437640499973	0	0	0
C8orf44	4.90474100053321	6.79518509787555	6.33871700493163	6.55277003807312	4.80365867966659	2.47813777168605	9.89214469163166
C8orf44-SGK3	0	0	2.37991159408996	0.458669309585333	0.076359387078001	0	1.36875842699826
C8orf46	0	0	0.00381823255743542	0.619980300213613	0	0.512091836017341	0
C8orf47	0	0	0	2.39010876645828	0	0	0
C8orf48	0	0	0	0.0419452909121673	0	1.36000558790207	0
C8orf56	0	0	0	0	0	0	0
C8orf58	6.60483171987528	34.2949784424814	6.98905669558662	2.30805901914235	0	7.02145947628687	0
C8orf59	55.8146916742123	20.2835195448584	35.5127311068379	34.7121250425426	11.8135879542424	22.906573355405	55.7801841428203
C8orf69	0	0	0.381269732415992	0.313207571490031	0	0	0
C8orf74	0	0	0	0	0	0	0
C8orf76	19.8058261864019	40.4164916892483	33.3139345318625	33.207816774552	10.860622665405	20.7517647748012	83.0902839472074
C8orf82	0	0	0	0.686982175702368	0	3.22068004413495	0
C8orf86	11.0652617383457	7.60471648623861	11.4755240215922	9.20677886381821	9.92829598625139	3.31374725939337	7.24882576990397
C8orf87	0	0	0	0	0	0	0
C9	0	0	0.129457070305252	0.142807382161393	0	0.0928035004034	0
C9orf106	0	6.96984317511874	0	1.5307061936155	0	1.94515456330201	0
C9orf114	11.1975294327433	1.37751915707021	29.5144607817009	25.2694292591021	55.8196872103943	8.16191509567695	9.30584553115586
C9orf116	0	0	0	1.30995053201156	0	8.64013825182619	0
C9orf117	0	1.00624573113583	0	0.445709261866108	1.26181540767798	0.0523165564644501	0
C9orf123	14.8553253921654	27.4643830919045	17.2613295118528	14.7625091685694	27.5628389650822	11.7532286205885	29.8636933049966
C9orf129	0	0	0.402050005133652	0.632677427218562	0	0.10390066087147	0
C9orf131	1.35881750631616	3.77984111610969	2.85765300843187	2.37371798310757	0	0.476214711737012	0
C9orf135	0	0	0	0.0337008859356589	0	0	0
C9orf139	1.05253831254476	0.419993396058641	1.37551620493042	1.53615875297303	0.318186330238797	2.76283416401446	0.864212969310234
C9orf142	113.676938551346	48.3482454526401	190.845364567223	228.134856335648	173.843572817561	37.5180775479418	338.133273367019
C9orf152	0	0	0	0.175856093103941	0	0.0248773453478379	0.0425798425830504
C9orf153	0	0	1.02134359183619	0.0773498595990206	0	0	0
C9orf156	29.0158093135481	11.9038301521353	34.4351766950574	30.1577970036227	105.106830577157	15.4088453476728	16.9702222572285
C9orf16	90.1407958946088	139.11059389148	168.404615935675	144.048488508048	158.754562933279	103.39685923584	169.132936656156
C9orf163	0	0	0.0165453022612656	0.209690541556563	0	0	0
C9orf169	0	0.477496131178192	0	0.0844834257090493	0	0	0
C9orf170	0	0	0.176550833856514	0.318657558181334	0	2.14579022142607	0
C9orf171	0	0	0	0.102708251898384	0	0	0
C9orf172	0	0	0	0.129700582249973	0	0.187787087411855	0
C9orf173	0	0	0	0	0	0	0
C9orf174	1.09834075021261	0	1.66941702460678	0.677674541406015	0	0	0
C9orf24	0.856579470326868	0.674990027005503	0	0.855959447298501	0	0	0
C9orf3	22.8512330357955	24.6122041885464	16.2654518202137	19.5256616579591	92.4483471124904	4.80959871857099	10.3554577989415
C9orf37	52.6900934660741	12.423701209004	27.9562127472048	27.6237061530859	2.16196702415631	8.575566486767	55.1267515695849
C9orf40	0	0	0.267611142687063	0.731757915221583	0	0.00768296319881762	0
C9orf41	2.60618484439865	4.10991949691754	6.52986493256924	8.69672542097098	41.4562970968074	0.759989776365338	4.11051202101819
C9orf43	0	0	0	0.0952253816490345	0	0	0
C9orf47	0	0.673736890628433	0.0218181968487456	0.25015003015991	0	0	0
