X	HN23_1	HN25_1	HN26_1	HN28_1	HN_0	HN10_0	HN12_0	HN13_0	HN16_0	HN17_0	HN18_0	HN20_0	HN22_0	HN24_0	HN24_1	HN25_0	HN26_0	HN5_0	HN5_1	HN6_0	HN6_1	HN7_0	HN8_0
278	26.29763612	9.231933667	6.844845468	11.80793017	15.91544728	9.553711838	15.9013361	13.9072011	17.08366889	4.565775531	11.02272461	0.109066761	10.49060785	6.191828747	14.52576883	17.7260641	7.480231572	4.886371979	7.291569956	4.284602783	18.27411206	0.124283693	17.0374722
279	1.504944682	3766.807571	2371.317638	3272.472673	560.9239638	30.3340885	19.71415104	394.4755712	1324.903744	116.9757462	303.7443965	142.4245421	1558.919388	1299.941326	2661.783365	714.7409815	665.7721142	689.0214277	586.8242247	172.1177371	372.4490222	0	211.6567322
280	10.26312132	10.87001314	18.62638819	18.10448115	14.47174829	0.021724366	23.56638197	117.8698053	25.16094683	8.993764402	21.60766035	26.13151424	2.114948938	5.854429523	1.907753173	15.05721792	16.41462148	10.60881727	10.83113699	12.55963786	15.93645343	56.38057779	20.86027242
281	0	0	0.00145252	0.012264378	0	0	0.010273765	55.83300423	0.005385923	0	3.496020898	0	0	0	0	0	0.036792445	15.51850264	10.82731485	0	0.020510914	0	226.2956363
282	0	0.010917212	0.178718052	0.038530654	0.148580139	0	0	0.042438976	0.000631578	0.170702548	0.020540457	0	0	0	0.674512526	0.022364227	0.002830225	4.015457913	0.95281116	0.648991509	0.374368479	0	6.704158034
283	0	0	0.121535403	0.520032424	0.004831596	0	2.708462168	0	0	0.361621741	0	4.127774281	0.967738817	0	0	0.195925834	0	0	0.112285444	11.00655202	3.998153691	0	9.545969794
284	0	13.5846719	0.071985497	1.331557002	0.331496807	0.964396849	0.126786869	0.99963495	1.885569576	3.665562898	4.447994621	3.382104253	2.499670649	16.35031986	0.008163291	4.811853211	0	19.20564191	9.636598265	5.466365461	7.553526749	0	23.86118821
285	0	2.62872907	4.539818132	4.024713881	9.142181901	0.01919516	2.326421752	11.26931708	8.058332323	1.380582416	2.198422269	15.7173772	0.529329245	0.783230042	1.15590861	3.847360462	15.87323246	13.46329414	12.51869227	4.703545951	9.186176346	24.61713958	7.274967472
286	0	0.480190246	0	0.13272467	0	0	0	2.788567605	0.212919364	0.003704441	0.260937976	0	0	0	1.2794252	0	0	1.232596493	1.763698509	0.780288462	0.817566745	0	0.015445259
287	0	0	0	0	0	0	0	0	0	0	0	0.006218662	0	0	0	0	0	0	0	0	0	0	0
